Building Abbreviation,Full Name of Building,Ground/First Floor Only Accessible,Ground/First floor and Toilets Only Accessible,Building Presently Inaccessible
AB,Abernathy,True,,
AL,Alumni,True,,
LA,Art Studio Building,,,
AR,Hanes Art Center,,,
BA,Battle,,True,
BE,Beard (Pharmacy),,,
BF,Bioinformatics,,,
BH,Berryhill,,,
BI,Bingham,,,
BN,Bondurant Hall,,,
CW,Caldwell,,,True
CG,Carmichael Arena,,,
CN,Carrington Hall,,,
CA,Carroll,,,
CH,Carolina Hall,,,
CP,Chapman Hall,,,
CS,Clinical Sciences (Burnett-Womack),,,
CB,Cobb,,,
CO,Coker,,,
CE,Craige-North,,,
DA,Davie,,,
DC,Center for Dramatic Art,,,
DN,Dental (Brauer Hall),,,
DE,Dey Hall,,,
FB,Fred Brooks Hall at Sitterson Hall,,,
FH,Fetzer Hall,,,
GA,Gardner,True,,
GR,Gerrard,True,,
GC,FedEx Global Education,,,
GM,Graham Memorial,,,
GL,Greenlaw,,,
GS,Genome Sciences Building,,,
HM,Hamilton Hall,,,
HN,Hanes Hall,,,
HD,Hardin,,,
HK,Hickerson House,,,True
HI,Hill,,,
HC,Michael Hooker Research Center,,,
HT,Horton,,,
HP,"Hospital, UNC",,,
HO,Howell,True,,
KE,Kerr Hall (Pharmacy),,,
KL,Kenan Laboratories,,,
KM,Kenan Music Building,,,
KN,Knapp,,,
KR,Koury Residence Hall,,,
AC,Ackland,,,
LD,Library (Davis),,,
LE,Lenoir,,,
LG,Library (Wilson),,,
LU,U/Grad Library (House),,,
MJ,Mary Ellen Jones,,,
MA,Manning,,,
MB,McColl Building,,,
MC,McGavran-Greenberg (Public Health),,,
MD,MacNider,,,
ML,Morehead Laboratory,,,
MT,Mitchell,,,
MU,Murphey,,,
MY,Murray Hall,,,
NA,Naval ROTC Armory,True,,
NE,New East,True,,
NR,Neuroscience Research Building,,,
NW,New West,,,
PG,Paul Green Theatre,,,
PE,Peabody,,,
PS,Person,,,
PH,Phillips,,,
PA,Planetarium,,,
PT,Playmaker’s Theatre,True,,
CL,Pre-Clinic Ed (Bullitt-Brinkhous Bldg),,,
RO,Rosenau (Public Health),,,
RZ,Rizzo Center,,,
SC,Stone Center,,,
SM,Smith,,,True
SN,Sitterson,,,
ST,Steele,,,
SU,Student Union,,,
SW,Swain Hall,True,,
TH,Taylor Hall,,,
TT,Tate Turner Kuralt,,,
VW,Van-Hecke-Wettach,,,
VN,Venable Hall,,,
WI,Wilson,,,
WB,Wing B (Med School),True,,
WC,Wing C (Med School),True,,
WD,Wing D (Med School),True,,
WE,Wing E (Med School),,,
WG,Woollen Gym,,True,
YC,YMCA Building,,,
