name,abbreviation,defaultLatitude,defaultLongitude,campus
Abernathy,AB,35.91167621,-79.05426351,UNC Chapel Hill
Alumni,AL,35.91342273,-79.05093055,UNC Chapel Hill
Art Studio Building,LA,35.93180563,-79.05819518,UNC Chapel Hill
Hanes Art Center,AR,35.9125865,-79.05442015,UNC Chapel Hill
Battle,BA,35.91415427,-79.05311778,UNC Chapel Hill
Beard (Pharmacy),BE,35.90808068,-79.05351254,UNC Chapel Hill
Bioinformatics,BF,35.90197847,-79.05343568,UNC Chapel Hill
Berryhill,BH,35.90719112,-79.05167481,UNC Chapel Hill
Bingham,BI,35.91141254,-79.04947755,UNC Chapel Hill
Bondurant Hall,BN,35.90658092,-79.05217631,UNC Chapel Hill
Caldwell,CW,35.9130133,-79.04906862,UNC Chapel Hill
Carmichael Arena,CG,35.91051313,-79.04489252,UNC Chapel Hill
Carrington Hall,CN,35.90753218,-79.05174966,UNC Chapel Hill
Carroll,CA,35.91108198,-79.05197405,UNC Chapel Hill
Carolina Hall,CH,35.91212035,-79.04982895,UNC Chapel Hill
Chapman Hall,CP,35.91077251,-79.05269867,UNC Chapel Hill
Clinical Sciences (Burnett-Womack),CS,35.90557173,-79.05231047,UNC Chapel Hill
Cobb,CB,35.91307,-79.04442001,UNC Chapel Hill
Coker,CO,35.90912329,-79.05147457,UNC Chapel Hill
Craige-North,CE,35.90426235,-79.04577158,UNC Chapel Hill
Davie,DA,35.91355703,-79.04939819,UNC Chapel Hill
Center for Dramatic Art,DC,35.91264593,-79.04412952,UNC Chapel Hill
Dental (Brauer Hall),DN,35.90545385,-79.05320847,UNC Chapel Hill
Dey Hall,DE,35.91065508,-79.05074733,UNC Chapel Hill
Fred Brooks Hall at Sitterson Hall,FB,35.9105914,-79.05299467,UNC Chapel Hill
Fetzer Hall,FH,35.90972921,-79.04690279,UNC Chapel Hill
Gardner,GA,35.91106971,-79.05091848,UNC Chapel Hill
Gerrard,GR,35.91236579,-79.05140675,UNC Chapel Hill
FedEx Global Education,GC,35.90891256,-79.05404701,UNC Chapel Hill
Graham Memorial,GM,35.91507994,-79.05141814,UNC Chapel Hill
Greenlaw,GL,35.91119327,-79.04910816,UNC Chapel Hill
Genome Sciences Building,GS,35.9084755,-79.05079988,UNC Chapel Hill
Hamilton Hall,HM,35.91225635,-79.04874762,UNC Chapel Hill
